,birthdate,college_listed,us_born,lesbian_or_bi,trans
Aaliyah,1979-01-16,0.0,1.0,0.0,0.0
Abbie Cornish,1982-08-07,0.0,0.0,0.0,0.0
Adriana Lima,1981-06-12,0.0,0.0,0.0,0.0
Adrianne Curry,1982-08-06,0.0,1.0,1.0,0.0
Adrianne Palicki,1983-05-06,0.0,1.0,0.0,0.0
Aisha Tyler,1970-09-18,1.0,1.0,0.0,0.0
Alecia Elliott,1982-12-25,0.0,,0.0,0.0
Alessandra Ambrosio,1981-04-11,0.0,0.0,0.0,0.0
Alex Morgan,1989-07-02,0.0,,0.0,0.0
Alexandra Daddario,1986-03-16,0.0,1.0,0.0,0.0
Alexis Bledel,1981-09-16,0.0,1.0,0.0,0.0
Ali Larter,1976-02-28,0.0,1.0,0.0,0.0
Alice Eve,1982-02-06,1.0,0.0,0.0,0.0
Alicia Keys,1981-01-25,0.0,1.0,0.0,0.0
Alicia Vikander,1988-10-03,1.0,0.0,0.0,0.0
Alicia Witt,1975-08-21,0.0,1.0,0.0,0.0
Aline Weber,1989-03-22,0.0,0.0,0.0,0.0
Alison Brie,1982-12-29,1.0,1.0,0.0,0.0
Aly Michalka,1989-03-25,0.0,1.0,0.0,0.0
Alyssa Milano,1972-12-19,0.0,1.0,0.0,0.0
Alyssa Miller,1989-07-04,0.0,1.0,0.0,0.0
Amanda Bynes,1986-04-03,0.0,1.0,0.0,0.0
Amanda Detmer,1971-09-27,0.0,1.0,0.0,0.0
Amanda Knox,1987-07-09,0.0,1.0,0.0,0.0
Amanda Peet,1972-01-11,1.0,1.0,0.0,0.0
Amanda Righetti,1983-04-04,0.0,1.0,0.0,0.0
Amanda Seyfried,1985-12-03,0.0,1.0,0.0,0.0
Amanda Swisten,1978-12-20,0.0,1.0,0.0,0.0
Amber Heard,1986-04-22,0.0,1.0,1.0,0.0
Amber Lancaster,1980-09-19,0.0,1.0,0.0,0.0
Amber Valletta,1974-02-09,0.0,1.0,0.0,0.0
America Ferrera,1984-04-18,1.0,1.0,0.0,0.0
Amerie,1978-01-12,0.0,,0.0,0.0
Amy Smart,1976-03-26,0.0,1.0,0.0,0.0
Ana Beatriz Barros,1982-05-29,0.0,0.0,0.0,0.0
Ana Hickmann,1981-03-01,0.0,0.0,0.0,0.0
Ana Ivanovic,1987-11-06,0.0,,0.0,0.0
Anahí,1983-05-14,0.0,0.0,0.0,0.0
Ananda Lewis,1973-03-21,0.0,1.0,0.0,0.0
Andreea Diaconu,1991-03-28,0.0,0.0,0.0,0.0
Angelina Jolie,1975-06-04,0.0,1.0,1.0,0.0
Anja Rubik,1983-06-12,0.0,0.0,0.0,0.0
Anna Chapman,1982-02-23,0.0,0.0,0.0,0.0
Anna Ewers,1993-03-14,0.0,0.0,0.0,0.0
Anna Faris,1976-11-29,1.0,1.0,0.0,0.0
Anna Friel,1976-07-12,0.0,0.0,0.0,0.0
Anna Kournikova,1981-06-07,0.0,,0.0,0.0
Anna Paquin,1982-07-24,0.0,0.0,1.0,0.0
AnnaLynne McCord,1987-07-16,0.0,1.0,0.0,0.0
Anne Hathaway,1982-11-12,0.0,1.0,0.0,0.0
Anne Marie Kortright,1982-03-14,0.0,0.0,0.0,0.0
April Scott,1979-01-29,0.0,1.0,0.0,0.0
Ariana Grande,1993-06-26,0.0,1.0,0.0,0.0
Arianny Celeste,1985-11-11,0.0,1.0,0.0,0.0
Ashlee Simpson,1984-10-03,0.0,1.0,0.0,0.0
Ashley Benson,1989-12-18,0.0,1.0,0.0,0.0
Ashley Greene,1987-02-21,0.0,1.0,0.0,0.0
Ashley Olsen,1986-06-13,0.0,1.0,0.0,0.0
Ashley Scott,1977-07-13,0.0,1.0,0.0,0.0
Ashley Tappin,1974-12-18,0.0,0.0,0.0,0.0
Ashley Tisdale,1985-07-02,0.0,1.0,0.0,0.0
Asia Argento,1975-09-20,0.0,0.0,0.0,0.0
Aubrey O'Day,1984-02-11,0.0,,0.0,0.0
Aubrey Plaza,1984-06-26,1.0,,1.0,0.0
Audrina Patridge,1985-05-09,0.0,1.0,0.0,0.0
Autumn Reeser,1980-09-21,1.0,1.0,0.0,0.0
Avril Lavigne,1984-09-27,0.0,0.0,0.0,0.0
Bar Paly,1985-04-29,0.0,0.0,0.0,0.0
Bar Refaeli,1985-06-04,0.0,0.0,0.0,0.0
Barbara Palvin,1993-10-08,0.0,0.0,0.0,0.0
Beau Garrett,1982-12-28,0.0,1.0,0.0,0.0
Behati Prinsloo,1989-05-16,0.0,0.0,0.0,0.0
Bella Hadid,1996-10-09,1.0,1.0,0.0,0.0
Beth Ostrosky Stern,1972-07-15,0.0,1.0,0.0,0.0
Beyoncé,1981-09-04,0.0,1.0,0.0,0.0
Bianca Kajlich,1977-03-26,0.0,1.0,0.0,0.0
Bijou Phillips,1980-04-01,0.0,1.0,0.0,0.0
Blake Lively,1987-08-25,0.0,1.0,0.0,0.0
Blu Cantrell,1976-03-16,0.0,,0.0,0.0
Bregje Heinen,1993-03-05,0.0,,0.0,0.0
Bridget Moynahan,1971-04-28,0.0,1.0,0.0,0.0
Britney Spears,1981-12-02,0.0,1.0,0.0,0.0
Britt Robertson,1990-04-18,0.0,1.0,0.0,0.0
Brittany Daniel,1976-03-17,0.0,1.0,0.0,0.0
Brittany Murphy,1977-11-10,0.0,1.0,0.0,0.0
Brittany Snow,1986-03-09,0.0,1.0,0.0,0.0
Brittny Gastineau,1982-11-11,0.0,1.0,0.0,0.0
Brody Dalle,1979-01-01,0.0,,0.0,0.0
Brooke Burke,1971-09-08,0.0,1.0,0.0,0.0
Brooke Burns,1978-03-16,0.0,0.0,0.0,0.0
Brooklyn Decker,1987-04-12,0.0,1.0,0.0,0.0
Bérénice Marlohe,1979-05-19,0.0,0.0,0.0,0.0
Caity Lotz,1986-12-30,0.0,1.0,0.0,0.0
Cameron Diaz,1972-08-30,0.0,1.0,0.0,0.0
Cameron Richardson,1979-09-11,0.0,1.0,0.0,0.0
Cameron Russell,1987-06-14,1.0,1.0,0.0,0.0
Camilla Belle,1986-10-02,0.0,1.0,0.0,0.0
Camille Rowe,1990-01-07,0.0,0.0,0.0,0.0
Candace Bailey,1982-05-20,0.0,1.0,0.0,0.0
Candice Patton,1988-06-24,0.0,1.0,0.0,0.0
Candice Swanepoel,1988-10-20,0.0,,0.0,0.0
Cara Delevingne,1992-08-12,0.0,0.0,1.0,0.0
Carla Gugino,1971-08-29,0.0,1.0,0.0,0.0
Carly Craig,1980-06-12,0.0,1.0,0.0,0.0
Carmen Electra,1972-04-20,0.0,1.0,0.0,0.0
Carol Grow,1971-05-23,0.0,,0.0,0.0
Carrie Underwood,1983-03-10,0.0,,0.0,0.0
Chandra West,1970-12-31,0.0,0.0,0.0,0.0
Chanel Iman,1990-12-01,0.0,1.0,0.0,0.0
Charisma Carpenter,1970-07-23,0.0,1.0,0.0,0.0
Charli Baltimore,1974-08-16,0.0,,0.0,0.0
Charlize Theron,1975-08-07,0.0,0.0,0.0,0.0
Charlotte McKinney,1993-08-06,0.0,1.0,0.0,0.0
Chelsea Handler,1975-02-25,0.0,,0.0,0.0
Cheryl Burke,1984-05-03,0.0,1.0,0.0,0.0
Christian Serratos,1990-09-21,0.0,1.0,0.0,0.0
Christina Aguilera,1980-12-18,0.0,1.0,0.0,0.0
Christina Applegate,1971-11-25,0.0,1.0,0.0,0.0
Christina Hendricks,1975-05-03,0.0,1.0,0.0,0.0
Christina Milian,1981-09-26,0.0,,0.0,0.0
Christina Ricci,1980-02-12,1.0,1.0,0.0,0.0
Chyler Leigh,1982-04-10,0.0,1.0,0.0,0.0
Ciara,1985-10-25,0.0,1.0,0.0,0.0
Cindy Bruna,1994-09-27,0.0,0.0,0.0,0.0
Cindy Crawford,1966-02-20,0.0,1.0,0.0,0.0
Cindy Taylor,1977-04-18,0.0,0.0,0.0,0.0
Claire Coffee,1980-04-14,0.0,1.0,0.0,0.0
Claudette Ortiz,1981-07-21,0.0,,0.0,0.0
Cobie Smulders,1982-04-03,0.0,0.0,0.0,0.0
Coco Lee,1975-01-17,0.0,,0.0,0.0
Colleen Haskell,1976-12-06,0.0,1.0,0.0,0.0
Connie Nielsen,1965-07-03,0.0,0.0,0.0,0.0
Constance Jablonski,1991-04-17,0.0,0.0,0.0,0.0
Daisy Fuentes,1966-11-17,1.0,0.0,0.0,0.0
Dakota Johnson,1989-10-04,0.0,1.0,0.0,0.0
Dania Ramirez,1979-11-08,0.0,0.0,0.0,0.0
Danica McKellar,1975-01-03,1.0,1.0,0.0,0.0
Danica Patrick,1982-03-25,0.0,,0.0,0.0
Daniela Ruah,1983-12-02,0.0,1.0,0.0,0.0
Daniella Alonso,1978-09-22,0.0,1.0,0.0,0.0
Danielle Fishel,1981-05-05,0.0,1.0,0.0,0.0
Danielle Panabaker,1987-09-19,1.0,1.0,0.0,0.0
Danneel Harris,1979-03-18,0.0,1.0,0.0,0.0
Dawn Olivieri,1981-02-08,0.0,0.0,0.0,0.0
Deanna Russo,1979-10-17,0.0,1.0,0.0,0.0
Demi Lovato,1992-08-20,0.0,1.0,0.0,0.0
Denise Richards,1971-02-17,0.0,1.0,0.0,0.0
Devon Windsor,1994-03-07,1.0,0.0,0.0,0.0
Diane Kruger,1976-07-15,0.0,0.0,0.0,0.0
Dianna Agron,1986-04-30,0.0,1.0,0.0,0.0
Diora Baird,1983-04-06,0.0,1.0,0.0,0.0
Dita Von Teese,1972-09-28,0.0,0.0,0.0,0.0
Dominique Swain,1980-08-12,0.0,1.0,0.0,0.0
Donna Feldman,1982-04-28,0.0,1.0,0.0,0.0
Doutzen Kroes,1985-01-23,0.0,0.0,0.0,0.0
Drea de Matteo,1972-01-19,1.0,1.0,0.0,0.0
Drew Barrymore,1975-02-22,0.0,1.0,1.0,0.0
Dylan Penn,1991-04-13,0.0,1.0,0.0,0.0
Elisabeth Harnois,1979-05-26,1.0,1.0,0.0,0.0
Elisabetta Canalis,1978-09-12,0.0,0.0,0.0,0.0
Elisha Cuthbert,1982-11-30,0.0,0.0,0.0,0.0
Eliza Dushku,1980-12-30,0.0,1.0,0.0,0.0
Elizabeth Olsen,1989-02-16,1.0,1.0,0.0,0.0
Elsa Hosk,1988-11-07,0.0,0.0,0.0,0.0
Emilia Clarke,1986-10-23,1.0,0.0,0.0,0.0
